hadm_id,source_cui,source_name,target_cui,target_name,relation,note_occurrences,mention_count,base_confidence,alignment_score
1,C0002915,General Anesthesia,C0002913,Epidural Anesthesia,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.8213096261024475,0.8213096261024475
1,C0013227,Pharmaceutical Preparations,C0041755,Adverse reaction to drug,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.8227736949920654,0.8227736949920654
1,C0013227,Pharmaceutical Preparations,C0231303,Distress,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.7164333462715149,0.7164333462715149
1,C0038894,Surgery specialty,C0002913,Epidural Anesthesia,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.8031759858131409,0.8031759858131409
1,C0192289,Subtotal resection of esophagus,C0002913,Epidural Anesthesia,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.7849745154380798,0.7849745154380798
1,C0192352,Esophagogastrostomy,C0002913,Epidural Anesthesia,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.7321298122406006,0.7321298122406006
1,C0192715,Jejunostomy feeding,C0002913,Epidural Anesthesia,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.7411243319511414,0.7411243319511414
1,C0458173,Syrup - Food,C0030193,Pain,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.9321074485778809,0.9321074485778809
1,C0475358,Tumor tissue sample,C0015252,removal technique,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.7102904319763184,0.7102904319763184
1,C0562425,millicoulomb,C0002913,Epidural Anesthesia,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.7142654657363892,0.7142654657363892
1,C4086552,Locally Advanced Disease Clinical Trial Setting,C0021485,Injection of therapeutic agent,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.9151324033737183,0.9151324033737183
1,C4086552,Locally Advanced Disease Clinical Trial Setting,C0079083,carboplatin,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.8278995156288147,0.8278995156288147
1,C4086552,Locally Advanced Disease Clinical Trial Setting,C0144576,paclitaxel,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.9101668000221252,0.9101668000221252
1,C4086552,Locally Advanced Disease Clinical Trial Setting,C5392214,Neoadjuvant Chemotherapy,TREATS_OR_CAUSES,['mb-das-may-2011.pdf'],1,0.9055526256561279,0.9055526256561279
